bostoncollege,:bostoncollege: Boston College,,,
clemson,:clemson: Clemson,,,
duke,:duke: Duke,,,
floridastate,:floridastate: Florida State,,,
georgiatech,:georgiatech: Georgia Tech,,,
louisville,:louisville: Louisville,,,
miami,:miami: Miami,,,
ncstate,:ncstate: NC State,,,
northcarolina,:northcarolina: North Carolina,,,
pittsburgh,:pittsburgh: Pittsburgh,,,
syracuse,:syracuse: Syracuse,,,
virginia,:virginia: Virginia,,,
virginiatech,:virginiatech: Virginia Tech,,,
wakeforest,:wakeforest: Wake Forest,,,
baylor,:baylor: Baylor,,,
iowastate,:iowastate: Iowa State,,,
kansas,:kansas: Kansas,,,
kansasstate,:kansasstate: Kansas State,,,
oklahoma,:oklahoma: Oklahoma,,,
oklahomastate,:oklahomastate: Oklahoma State,,,
tcu,:tcu: TCU,,,
texas,:texas: Texas,,,
texastech,:texastech: Texas Tech,,,
westvirginia,:westvirginia: West Virginia,,,
illinois,:illinois: Illinois,,,
indiana,:indiana: Indiana,,,
iowa,:iowa: Iowa,,,
maryland,:maryland: Maryland,,,
michigan,:michigan: Michigan,,,
michiganstate,:michiganstate: Michigan State,,,
minnesota,:minnesota: Minnesota,,,
nebraska,:nebraska: Nebraska,,,
northwestern,:northwestern: Northwestern,,,
ohiostate,:ohiostate: Ohio State,,,
pennstate,:pennstate: Penn State,,,
purdue,:purdue: Purdue,,,
rutgers,:rutgers: Rutgers,,,
wisconsin,:wisconsin: Wisconsin,,,
arizona,:arizona: Arizona,,,
arizonastate,:arizonastate: Arizona State,,,
california,:california: California,,,
colorado,:colorado: Colorado,,,
oregon,:oregon: Oregon,,,
oregonstate,:oregonstate: Oregon State,,,
stanford,:stanford: Stanford,,,
ucla,:ucla: UCLA,,,
usc,:usc: USC,,,
utah,:utah: Utah,,,
washington,:washington: Washington,,,
washingtonstate,:washingtonstate: Washington State,,,
alabama,:alabama: Alabama,,,
arkansas,:arkansas: Arkansas,,,
auburn,:auburn: Auburn,,,
florida,:florida: Florida,,,
